Date,Turbidity,TC_count,EC_count,Last 24 hours of rainfall,Not_dumb_time,Well
4/23/2015,0.066,0,0,4.16,11:20,W101
4/20/2015,0.065,0,0,0.01,13:49,W101
4/1/2015,0.062,0,0,0.17,10:15,W101
3/23/2015,0.061,0,0,0.09,12:55,W101
3/11/2015,0.02,0,0,0.96,8:31,W101
2/18/2015,0.043,0,0,0.02,10:36,W101
2/9/2015,0.04,0,0,0,13:26,W101
2/2/2015,0.06,1,1,0.09,12:15,W101
1/27/2015,0.058,0,0,1.39,12:12,W101
7/14/2015,0.097,0,0,1,15:04,W107
7/9/2015,0.049,0,0,0.2,13:56,W107
6/25/2015,0.048,0,0,2.7,13:32,W107
6/11/2015,0.046,0,0,0.07,12:35,W107
6/1/2015,0.043,0,0,0,10:45,W107
5/18/2015,0.04,0,0,0.81,13:16,W107
5/12/2015,0.2,0,0,1.18,11:17,W107
10/31/2013,0.06,2,2,1.04,8:30,W119
10/16/2013,0.045,1,0,0.34,8:05,W119
9/3/2013,0.1,0,0,0.12,11:45,W119
8/26/2013,0.102,0,0,0.43,12:10,W119
8/21/2013,0.094,0,0,0.2,8:38,W119
8/19/2013,0.088,0,0,1.3,9:42,W119
8/12/2013,0.027,0,0,1.21,11:20,W119
8/6/2013,0.062,0,0,0.43,8:05,W119
2/9/2015,0.051,0,0,0.02,13:13,W128
2/2/2015,0.06,0,0,0.45,12:25,W128
1/27/2015,0.063,0,0,0.55,9:55,W128
1/21/2015,0.116,0,0,3.16,13:10,W128
1/5/2015,0.03,0,0,2.02,10:52,W128
12/29/2014,0.023,0,0,0.48,11:32,W128
12/22/2014,0.021,0,0,4.18,11:34,W128
12/10/2014,0.056,0,0,0.83,13:40,W128
7/27/2015,0.443,0,0,0.29,10:05,W163
7/14/2015,0.272,0,0,1.29,14:58,W163
7/9/2015,0.107,0,0,0.17,14:05,W163
6/25/2015,0.089,0,0,2.47,13:43,W163
6/11/2015,0.149,0,0,0.12,12:21,W163
6/1/2015,0.08,0,0,0,11:15,W163
5/18/2015,0.08,0,0,0.23,13:34,W163
5/12/2015,0.21,0,0,0.93,11:28,W163
5/3/2016,0.036,0,0,0.66,12:12,W164
5/2/2016,0.042,0,0,1.4,10:32,W164
4/28/2016,0.051,0,0,0.17,10:09,W164
4/27/2016,0.04,0,0,0.08,13:10,W164
4/26/2016,0.041,0,0,1.08,10:02,W164
4/19/2016,0.041,0,0,1.73,13:36,W164
4/12/2016,0.039,0,0,3.51,13:16,W164
4/11/2016,0.039,0,0,0.79,11:52,W164
4/6/2016,0.04,0,0,1.28,13:27,W164
4/5/2016,0.041,0,0,0.05,13:35,W164
4/4/2016,0.04,0,0,2.79,11:38,W164
3/30/2016,0.039,0,0,0.62,12:52,W164
2/24/2016,0.05,0,0,N/A,11:50,W164
7/27/2015,0.023,0,0,,9:40,W165
7/14/2015,0.012,0,0,,14:20,W165
7/9/2015,0.019,0,0,,13:45,W165
6/25/2015,0.193,0,0,,13:22,W165
6/11/2015,0.026,200.5,1,0.08,12:45,W165
6/1/2015,0.079,0,0,0,10:55,W165
5/18/2015,0.07,0,0,0.32,13:00,W165
5/12/2015,0.65,0,0,1.47,11:10,W165
4/23/2015,0.286,0,0,7.51,11:53,W165
4/20/2015,0.18,0,0,0,13:10,W165
4/1/2015,0.024,0,0,0.16,9:56,W165
3/23/2015,0.65,0,0,0.71,12:25,W165
6/18/2014,0.051,0,0,data not available,8:55,W167
6/17/2014,0.054,0,0,1.38,8:50,W167
6/16/2014,0.048,0,0,0.66,8:45,W167
6/3/2014,0.048,0,0,0.24,9:20,W167
5/29/2014,0.042,0,0,0.57,13:45,W167
5/22/2014,0.062,0,0,0.09,11:20,W167
5/1/2014,0.03,38.4,0,0.36,10:25,W167
4/30/2014,0.124,40.6,0,0.46,8:10,W167
2/5/2013,0.071,12.4,2,2.15,11:23,W168
1/31/2013,0.063,3.1,0,1.68,10:30,W168
1/30/2013,0.068,3.1,0,1.37,11:10,W168
1/29/2013,0.062,1,0,0.86,8:50,W168
1/28/2013,0.076,2,1,0.94,12:50,W168
1/17/2013,0.07,36.4,1,1.01,11:50,W168
1/16/2013,0.073,78.2,2,0.46,13:43,W168
1/15/2013,0.072,>200.5,0,1.93,10:25,W168
1/10/2013,0.055,20.7,0,1.28,7:05,W168
7/11/2013,0.068,0,0,0.28,11:25,W169
7/2/2013,0.6,0,0,0.4,9:46,W169
7/1/2013,0.06,0,0,0.85,11:06,W169
6/26/2013,0.07,2,0,0.73,11:03,W169
6/24/2013,0.09,0,0,0.35,11:40,W169
6/5/2013,0.296,9.9,0,2.83,11:36,W169
6/4/2013,0.085,42,0,0.13,7:55,W169
5/30/2013,0.082,20.7,0,0.28,9:20,W169
5/7/2013,0.236,0,0,0.02,11:15,W169
11/21/2013,0.094,0,0,0.75,9:15,W171
11/20/2013,0.096,0,0,0.24,9:55,W171
11/14/2013,0.086,0,0,1.76,8:30,W171
11/13/2013,0.422,4.2,0,0.54,7:45,W171
10/31/2013,0.126,0,0,1.04,7:45,W171
10/16/2013,0.08,0,0,0.34,7:40,W171
9/3/2013,0.067,0,0,1.45,11:00,W171
8/26/2013,0.076,0,0,0.22,10:35,W171
8/21/2013,0.186,1,0,0.19,7:50,W171
8/19/2013,0.134,0,0,1.3,10:40,W171
8/12/2013,0.047,0,0,1.21,11:55,W171
12/11/2013,0.046,0,0,1.89,9:35,W172
12/10/2013,0.048,0,0,1.82,7:35,W172
12/9/2013,0.052,1,0,1.37,9:25,W172
12/5/2013,0.028,0,0,0.06,8:20,W172
12/2/2013,0.024,0,0,0.02,10:05,W172
11/25/2013,0.044,20.7,0,0.32,10:00,W172
11/21/2013,0.015,>200.5,0,0.75,9:23,W172
11/20/2013,0.028,0,0,0.25,10:10,W172
11/14/2013,0.046,0,0,1.72,8:50,W172
11/13/2013,0.047,1,0,0.7,8:50,W172
8/20/2014,0.051,0,0,,7:05,W177
8/11/2014,0.048,0,0,0.49,12:25,W177
7/30/2014,0.058,1,0,6.66,11:35,W177
7/14/2014,0.015,0,0,0.32,9:00,W177
7/10/2014,0.066,0,0,0.26,11:10,W177
6/23/2014,0.049,0,0,0.3,13:42,W177
8/20/2014,0.039,0,0,,7:25,W178
8/11/2014,0.032,0,0,0.49,12:40,W178
7/30/2014,0.025,0,0,6.15,11:24,W178
7/14/2014,0.037,0,0,0.29,8:55,W178
7/10/2014,0.117,0,0,0.28,11:05,W178
6/23/2014,0.03,0,0,0.31,13:30,W178
11/24/2014,0.009,0,0,0.02,14:06,W179
11/17/2014,0.009,0,0,0.09,10:34,W179
11/13/2014,0.009,1,0,1.04,9:31,W179
11/3/2014,0.013,0,0,0.72,11:22,W179
10/30/2014,0.014,0,0,0.25,9:46,W179
10/16/2014,0.03,0,0,N/A,10:49,W179
10/14/2014,0.016,0,0,N/A,14:35,W179
