Well,Date,TC MPN/100ml,E coli MPN/100 ml
Taf-33-GUDI,4/19/2016,46.9,8.5
Taf-33-GUDI,5/20/2016,24.2,3.1
Taf-33-GUDI,6/21/2016,11,1
Taf-33-GUDI,7/12/2016,41.4,0.1
Taf-33-GUDI,8/24/2016,33.6,2
Taf-33-GUDI,9/21/2016,72.9,6.3
Taf-33-GUDI,10/20/2016,25.3,0.1
Taf-33-GUDI,11/22/2016,28.2,5.2
Taf-33-GUDI,12/20/2016,1413.2,93.3
Taf-33-GUDI,1/23/2017,85.2,39.5
Taf-33-GUDI,2/27/2017,48,3.1
Taf-33-GUDI,3/22/2017,79.2,5.2
Taf-33-GUDI,4/24/2017,68.4,1
46-GUDI,4/19/2016,217.8,12.1
Taf-60-GUDI,1/23/2017,14.6,2
Taf-60-GUDI,2/27/2017,0,0
Taf-60-GUDI,3/22/2017,0,0
Taf-60-GUDI,4/24/2017,14.8,0
61-GUDI,12/20/2016,313,25.9
Taf-81-GUDI,12/20/2016,2419.6,1732.9
Taf-81-GUDI,1/23/2017,2419.6,1299.7
Taf-81-GUDI,2/27/2017,217.8,76.7
Taf-81-GUDI,3/22/2017,139.6,23.1
Taf-81-GUDI,4/24/2017,104.6,10.9
Ili-84-Non-GUDI,4/19/2016,1,0
Ili-84-Non-GUDI,5/20/2016,0,0
Ili-84-Non-GUDI,6/21/2016,0,0
Ili-84-Non-GUDI,7/12/2016,0,0
Ili-84-Non-GUDI,8/24/2016,2,0
Ili-84-Non-GUDI,9/21/2016,1,0
Ili-84-Non-GUDI,10/20/2016,1,0
Ili-84-Non-GUDI,11/22/2016,1,0
Ili-84-Non-GUDI,12/20/2016,9.8,0
Ili-84-Non-GUDI,1/23/2017,0,0
Ili-84-Non-GUDI,2/27/2017,1,0
Ili-84-Non-GUDI,3/22/2017,0,0
Ili-84-Non-GUDI,4/24/2017,0,0
Mmi-89-GUDI,4/19/2016,46.2,11
Mmi-89-GUDI,5/20/2016,9.8,2
Mmi-89-GUDI,6/21/2016,36.4,3
Mmi-89-GUDI,7/12/2016,11,0
Mmi-89-GUDI,8/24/2016,770.1,22.6
Mmi-89-GUDI,9/21/2016,2419.6,135.4
Mmi-89-GUDI,10/20/2016,58.3,3.1
Mmi-89-GUDI,11/22/2016,48,8.6
Mmi-89-GUDI,12/20/2016,307.6,187.2
Mmi-89-GUDI,1/23/2017,1732.9,105
Mmi-89-GUDI,2/27/2017,133.4,21.8
Mmi-89-GUDI,3/22/2017,49.6,13.4
Mmi-89-GUDI,4/24/2017,7.5,1
Moa-93-Non-GUDI,4/19/2016,0,0
Moa-93-Non-GUDI,5/20/2016,0,0
Moa-93-Non-GUDI,6/21/2016,0,0
Moa-93-Non-GUDI,7/12/2016,0,0
Moa-93-Non-GUDI,8/24/2016,0,0
Moa-93-Non-GUDI,9/21/2016,0,0
Moa-93-Non-GUDI,10/20/2016,0,0
Moa-93-Non-GUDI,11/22/2016,0,0
Moa-93-Non-GUDI,12/20/2016,0,0
Moa-93-Non-GUDI,1/23/2017,0,0
Moa-93-Non-GUDI,2/27/2017,0,0
Moa-93-Non-GUDI,3/22/2017,0,0
Moa-93-Non-GUDI,4/24/2017,0,0
Asu-128-Non-GUDI,4/19/2016,0,0
Asu-128-Non-GUDI,5/20/2016,0,0
Asu-128-Non-GUDI,6/21/2016,0,0
Asu-128-Non-GUDI,7/12/2016,0,0
Asu-128-Non-GUDI,8/24/2016,1,0
Asu-128-Non-GUDI,9/21/2016,0,0
Asu-128-Non-GUDI,10/20/2016,1,0
Faga-179-Non-GUDI,4/19/2016,4.1,0
Faga-179-Non-GUDI,5/20/2016,0,0
Faga-179-Non-GUDI,6/21/2016,0,0
Faga-179-Non-GUDI,7/12/2016,0,0
Faga-179-Non-GUDI,8/24/2016,1,0
Faga-179-Non-GUDI,9/21/2016,0,0
Faga-179-Non-GUDI,10/20/2016,0,0
Mmi-89-GUDI,5/15/2017,1986.3,58.8
Taf-33-GUDI,5/15/2017,96.1,58.6
Ili-84-Non-GUDI,5/15/2017,0,0
Taf-81-GUDI,5/15/2017,920.8,387.3
Taf-60-GUDI,5/15/2017,117.2,31.3
Mmi-67-GUDI,5/15/2017,195.6,53.8
Taf-72-GUDI,5/15/2017,461.1,209.8
Mmi-89-GUDI,5/30/2017,38.3,1
Taf-33-GUDI,5/30/2017,116.9,2
Ili-84-Non-GUDI,5/30/2017,0,0
Taf-81-GUDI,5/30/2017,272.3,23.1
Taf-60-GUDI,5/30/2017,59.4,3.1
Mmi-67-GUDI,5/30/2017,72.3,7.5
Mmi-89-GUDI,6/28/2017,204.6,9.7
Taf-33-GUDI,6/28/2017,48.1,9.5
Ili-84-Non-GUDI,6/28/2017,2,0
Taf-81-GUDI,6/28/2017,1413.6,365.4
Taf-60-GUDI,6/28/2017,28.1,7.5
Mmi-67-GUDI,6/28/2017,112.6,41
Taf-72-GUDI,6/28/2017,160.7,38.4
Taf-61-GUDI,6/28/2017,34.5,0
Mmi-89-GUDI,7/26/2017,14.6,2
Taf-33-GUDI,7/26/2017,35.5,3.1
Ili-84-Non-GUDI,7/26/2017,0,0
Taf-81-GUDI,7/26/2017,88,20.1
Taf-60-GUDI,7/26/2017,1,0
Mmi-67-GUDI,7/26/2017,33.6,10.7
Taf-72-GUDI,7/26/2017,93.2,6.3
Taf-61-GUDI,7/26/2017,0,0
